 >0
04
810
AEA
AFR
AGR
ALQ
AMN
ARB
ASN
BCA
BRA
BUS
CAN
CHE
CHR
COE
COP
CRM
CTH
CVL
DEU
DEV
DNK
EAC
EAF
EDU
EEC
ELI
ENV
EUR
GBR
GOS
GOV
GZA
HIN
HLH
HMS
HRI
IAE
ICC
IMF
IND
IRC
ISI
ITA
ITP
JEW
JPN
JUD
KID
KOR
KWT
LAB
LEG
MAR
MED
MIL
MOS
MSF
MUS
NAT
NLD
OPC
OPP
PRO
PTY
RAD
REB
REF
REL
SAA
SAS
SEA
SEP
SPY
TKM
UAF
UNO
USA
VGB
WAF
WAS
WBK
WFP
WHO
WST
ZAF
