ABW
AFG
AFGCOP
AFGCVL
AFGCVLPTY
AFGELIGOV
AFGGOV
AFGGOVCRM
AFGLEG
AFGLEGMUS
AFGMEDCOP
AFGMIL
AFGMILCOP
AFGMUS
AFGREB
AFGREBLEG
AFGREBMED
AFGREBMUS
AFGREBOPP
AFGREBUAF
AFGSPY
AGO
AGOGOVBUS
AGOLEG
ALB
ARE
AREBUSLEG
ARECVL
AREMIL
AREMILBUS
AREMUS
ARG
ARGGOV
ARMGOV
AUS
AUSBUSLABMED
AUSCHR
AUSCOP
AUSCVL
AUSEDU
AUSGOV
AUSLEG
AUSMED
AUSMIL
AUSMUSUAF
AUSUAFCOP
AUT
AUTBUS
AUTCOP
AUTCOPLEG
AUTGOV
AUTMED
AZE
AZEGOV
AZEMIL
BDI
BDICOP
BDICOPMED
BDIGOV
BDIOPPCOP
BEL
BELCOP
BELGOV
BELJUD
BEN
BFA
BFACVL
BFAMED
BFAMIL
BGD
BGDCOP
BGR
BHR
BIHMIL
BLR
BLRGOV
BLZ
BOLGOV
BOLGOVEDU
BRA
BRABUS
BRABUSCOPGOV
BRAEDU
BRAENV
BRAGOV
BRAJUD
BRAPTY
BRB
BRNGOV
BTN
CAF
CAFGOV
CAN
CANGOV
CANLEG
CANMEDGOV
CANMOSUAF
CHE
CHEBUS
CHEGOV
CHEGOVBUS
CHEJUD
CHL
CHN
CHNBUS
CHNCVL
CHNEDU
CHNENV
CHNGOV
CHNGOVHRIJUD
CHNGOVMED
CHNLEG
CHNLEGBUS
CHNMED
CHNMIL
CHNMILELI
CHNREB
CHNREBMIL
CIV
CIVJUD
CMR
CMRGOV
CMRGOVMILUAF
CMRMIL
CMRMILLAB
COG
COGGOVOPPMED
COL
COLCRM
COLGOV
COLREB
COLREBLEG
CUB
CUBCVL
CUBCVLGOV
CUBGOV
CUBLAB
CUBOPP
CYP
CYPGOV
CYPGOVBUS
CYPMED
CZE
DEU
DEUBUS
DEUBUSCVL
DEUCOP
DEUCVL
DEUGOV
DEUGOVMED
DEULEG
DEUMED
DEUREBUAF
DEUSPY
DNK
DNKCOP
DNKGOV
DNKMIL
DZA
DZAGOV
DZALEG
DZAOPP
ECU
ECUGOV
EEUREBMIL
EGY
EGYBUS
EGYCOP
EGYELI
EGYELIGOV
EGYENV
EGYENVGOV
EGYGOV
EGYGOVMIL
EGYJUD
EGYMED
EGYMIL
EGYSPY
EGYUAF
ERI
ERIGOV
ESP
ESPCVL
ESPEDU
ESPGOV
ESPJUD
ESPREB
EST
ESTGOV
ETH
ETHGOV
FIN
FINCOP
FINEDU
FRA
FRAAGR
FRABUS
FRACOP
FRACVL
FRAELI
FRAGOV
FRAGOVBUS
FRAHLHLAB
FRAJEW
FRAJUD
FRALEG
FRAMED
FRAMIL
FRAMUSEDU
FRAMUSUAF
FRAPTY
FRAREB
FRAREBCOP
FRASPY
GBR
GBRBUS
GBRCOP
GBRCRM
GBRCVL
GBRGOV
GBRGOVBUS
GBRGOVHRI
GBRIMY
GBRLEG
GBRMED
GBRMIL
GBROPP
GBRREL
GEO
GEOGOV
