"Date","Freq"
"Mar 2014",1
"Jun 2014",77
"Jul 2014",263
"Aug 2014",196
"Sep 2014",141
"Oct 2014",111
"Nov 2014",121
"Dec 2014",79
"Jan 2015",150
"Feb 2015",234
"Mar 2015",215
"Apr 2015",171
"May 2015",268
"Jun 2015",268
"Jul 2015",271
"Aug 2015",235
"Sep 2015",292
"Oct 2015",297
"Nov 2015",256
"Dec 2015",200
"Jan 2016",212
"Feb 2016",212
"Mar 2016",254
"Apr 2016",270
"May 2016",206
